gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000279493	205.9170042234786	-0.45699235177408626	0.5815495648798773	-0.7858184054672638	0.4319738821151465	0.983620839745981
ENSG00000141959	18737.515749943574	-0.9862651701654374	1.2719249263965684	-0.7754114646998699	0.4380965627392826	0.983620839745981
ENSG00000206107	201.95048561063322	-0.3701291196343601	0.4814543109783743	-0.7687730926787472	0.4420280249412619	0.983620839745981
ENSG00000276612	646.9717750819865	0.2900882615123831	0.3817053481392605	0.7599795573378971	0.44726680446532846	0.983620839745981
ENSG00000188694	502.78629799177617	-0.34830944553084714	0.4644682810900339	-0.7499100793565918	0.453308863523197	0.983620839745981
ENSG00000159267	7782.284982351709	-0.14893371296593017	0.20126387418291325	-0.7399922791438257	0.45930467919301393	0.983620839745981
ENSG00000157578	8109.681277336731	0.13435858655675698	0.1851020581462294	0.7258621967920778	0.46792325329731127	0.983620839745981
ENSG00000142185	10204.773841590222	0.09961209070974622	0.13936086870702596	0.7147780552312546	0.4747461972337244	0.983620839745981
ENSG00000186977	205.177190419618	-0.3246012200171147	0.4574673106003625	-0.709561563188243	0.47797606217847666	0.983620839745981
ENSG00000215454	1230.303607704364	-0.182151235649628	0.2567169857952927	-0.7095410344015034	0.47798879655636717	0.983620839745981
ENSG00000173276	10307.080100740814	0.11660619263410232	0.16487537771578958	0.7072383654223181	0.4794183604520647	0.983620839745981
ENSG00000243646	3084.4048477865163	-0.1377792346861022	0.19867618958187386	-0.693486396009844	0.4880043602332346	0.983620839745981
ENSG00000206102	66.64245413785483	-0.44238017795989687	0.6391582263983541	-0.6921293659203946	0.48885609149838666	0.983620839745981
ENSG00000182871	9225.842651672732	0.10139624367530008	0.14683216032645977	0.690558822058195	0.4898428324187626	0.983620839745981
ENSG00000186924	133.26687292890205	-0.34905918700797567	0.5100545519823073	-0.6843565764708316	0.4937500291794358	0.983620839745981
